Language, English, German, Russian
STRM_UltRP_MH6J_Camo, "MH6J (Camo)", "MH6J (Camo)", "MH6J (Camo)"
STRM_UltRP_MH6J_Lightning, "MH6J (Lightning)", "MH6J (Lightning)", "MH6J (Lightning)"
STRM_UltRP_MH6J_Rasta, "MH6J (Rasta)", "MH6J (Rasta)", "MH6J (Rasta)"
STRM_An2_1_TK_CIV_EP1, "An-2 (Red)", "An-2 (Red)", "An-2 (Red)"
STRM_An2_2_TK_CIV_EP1, "An-2 (Green)", "An-2 (Green)", "An-2 (Green)"
STRM_gnt_piperwii, "Piper", "Piper", "Piper"
STRM_GNT_C185R, "Cessna (Yellow)", "Cessna (Yellow)", "Cessna (Yellow)"
STRM_GNT_C185C, "Cessna (White)", "Cessna (White)", "Cessna (White)"
STRM_GNT_C185, "Cessna (Red & Yellow)", "Cessna (Red & Yellow)", "Cessna (Red & Yellow)"
STRM_qantas_C130, "C130 (Quantas)", "C130 (Quantas)", "C130 (Quantas)"
STRM_Fishing_boat, "Fishing Boat", "Fishing Boat", "Fishing Boat"
STRM_PBX, "PBX", "PBX", "PBX"
STRM_Zodiac, "Zodiac", "Zodiac", "Zodiac"
STRM_Smallboat_1, "Leisure Boat 1", "Leisure Boat 1", "Leisure Boat 1"
STRM_Smallboat_2, "Leisure Boat 2", "Leisure Boat 2", "Leisure Boat 2"
STRM_big_boat, "Yacht", "Yacht", "Yacht"
STRM_tcg_wrun, "Jet-Ski", "Jet-Ski", "Jet-Ski"
STRM_tcg_wave_red, "Jet-Ski (Red)", "Jet-Ski (Red)", "Jet-Ski (Red)"
STRM_tcg_wave_black, "Jet-Ski (Black)", "Jet-Ski (Black)", "Jet-Ski (Black)"
STRM_tcg_wave_sky, "Jet-Ski (Blue)", "Jet-Ski (Blue)", "Jet-Ski (Blue)"
STRM_tcg_police_bell206, "GCPD Bell 206", "GCPD Bell 206", "GCPD Bell 206"
STRM_tcg_hrlycop, "GCPD Harley Davidson", "GCPD Harley Davidson", "GCPD Harley Davidson"
STRM_UltRP_CrownVic_GCSD_Liberty, "GCSD Ford Crown Victoria Patrol", "GCSD Ford Crown Victoria Patrol", "GCSD Ford Crown Victoria Patrol"
STRM_ilpd_beat_f101, "GCPD Ford Crown Victoria Patrol", "GCPD Ford Crown Victoria atrol", "GCPD Ford Crown Victoria Patrol"
STRM_ilpd_slick_b40_pb, "GCPD Ford Crown Victoria Patrol (Slicktop)", "GCPD Ford Crown Victoria Patrol (Slicktop)", "GCPD Ford Crown Victoria Patrol (Slicktop)"
STRM_suburban_pd_k9, "GCPD Chevrolet Tahoe (K9)", "GCPD Chevrolet Tahoe (K9)", "GCPD Chevrolet Tahoe (K9)"
STRM_suburban_pd_black, "GCPD Chevrolet Suburban Undercover (Black)", "GCPD Chevrolet Suburban Undercover (Black)", "GCPD Chevrolet Suburban Undercover (Black)"
STRM_A2L_Tahoe_Blackuc, "GCPD Chevrolet Tahoe Undercover (Black)", "GCPD Chevrolet Tahoe Undercover (Black)", "GCPD Chevrolet Tahoe Undercover (Black)"
STRM_A2L_Tahoe_Whiteuc, "GCPD Chevrolet Tahoe Undercover (White)", "GCPD Chevrolet Tahoe Undercover (White)", "GCPD Chevrolet Tahoe Undercover (White)"
STRM_bcpd_unmarked_black, "GCPD Ford Crown Victoria Undercover (Black)", "GCPD Ford Crown Victoria Undercover (Black)", "GCPD Ford Crown Victoria Undercover (Black)"
STRM_bcpd_unmarked_white, "GCPD Ford Crown Victoria Undercover (White)", "GCPD Ford Crown Victoria Undercover (White)", "GCPD Ford Crown Victoria Undercover (White)"
STRM_bcpd_unmarked_grey, "GCPD Ford Crown Victoria Undercover (Grey)", "GCPD Ford Crown Victoria Undercover (Grey)", "GCPD Ford Crown Victoria Undercover (Grey)"
STRM_bcpd_unmarked_blue, "GCPD Ford Crown Victoria Undercover (Blue)", "GCPD Ford Crown Victoria Undercover (Blue)", "GCPD Ford Crown Victoria Undercover (Blue)"
STRM_bcpd_unmarked_sandstone, "GCPD Ford Crown Victoria Undercover (Sandstone)", "GCPD Ford Crown Victoria Undercover (Sandstone)", "GCPD Ford Crown Victoria Undercover (Sandstone)"
STRM_bcpd_unmarked_maroon, "GCPD Ford Crown Victoria Undercover (Maroon)", "GCPD Ford Crown Victoria Undercover (Maroon)", "GCPD Ford Crown Victoria Undercover (Maroon)"
STRM_il_towtruck, "Tow Truck", "Tow Truck", "Tow Truck"
STRM_a2l_f350ambo, "GCFD Ford F350 Ambulance", "GCFD Ford F350 Ambulance", "GCFD Ford F350 Ambulance"
STRM_a2l_dot_f350_utility, "GCFD Ford F350 Utility", "GCFD Ford F350 Utility", "GCFD Ford F350 Utility"
STRM_laddertruck, "GCFD Ladder Truck", "GCFD Ladder Truck", "GCFD Ladder Truck"
STRM_a2l_suburban_FD, "GCFD Chevrolet Suburban", "GCFD Chevrolet Suburban", "GCFD Chevrolet Suburban"
STRM_ibr_as350, "GCFD AS350", "GCFD AS350", "GCFD AS350"
STRM_drug_marijuana, "Marijuana", "Marijuana", "Marijuana"
STRM_drug_cocaine, "Cocaine", "Cocaine", "Cocaine"
STRM_drug_meth, "Meth", "Meth", "Meth"
STRM_equipment_barrel, "Oil Barrel", "Oil Barrel", "Oil Barrel"
STRM_equipment_handcuffs, "Handcuffs", "Handcuffs", "Handcuffs"
STRM_equipment_spikestrip, "Spike Strip", "Spike Strip", "Spike Strip"
STRM_equipment_kit_gascan, "Fuel Can", "Fuel Can", "Fuel Can"
STRM_equipment_kit_lockpick, "Lockpick", "Lockpick", "Lockpick"
STRM_equipment_kit_medikit, "Medkit", "Medkit", "Medkit"
STRM_equipment_wearable_kevlarsuit, "Kevlar Vest", "Kevlar Vest", "Kevlar Vest"
STRM_equipment_wearable_kevlarsuit_cop, "Cop Kevlar Vest [WIP]", "Cop Kevlar Vest [WIP]", "Cop Kevlar Vest [WIP]"
STRM_equipment_kit_repairkit, "Repair Kit", "Repair Kit", "Repair Kit"
STRM_equipment_phone, "Mobile Phone [WIP]", "Mobile Phone [WIP]", "Mobile Phone [WIP]"
STRM_equipment_wearable_bag_weapon, "Weapon Bag [WIP]", "Weapon Bag [WIP]", "Weapon Bag [WIP]"
STRM_equipment_wearable_nightvision, "Night Vision", "Night Vision", "Night Vision"
STRM_equipment_wearable_parachute, "Parachute", "Parachute", "Parachute"
STRM_food_doughnut, "Police Donut", "Police Donut", "Police Donut"
STRM_equipment_fishingpole, "Fishing Pole", "Fishing Pole", "Fishing Pole"
STRM_food_drink_beer, "Beer", "Beer", "Beer"
STRM_food_drink_vodka, "Vodka", "Vodka", "Vodka"
STRM_food_fish, "Fish", "Fish", "Fish"
STRM_food_pizza, "Pizza", "Pizza", "Pizza"
STRM_food_sandwich, "Sandwich", "Sandwich", "Sandwich"
STRM_food_pork, "Ham", "Ham", "Ham"
STRM_food_beef, "Steak", "Steak", "Steak"
STRM_money, "Dollar", "Dollar", "Dollar"
STRM_delivery_electronics, "Electric Equip", "Electric Equip", "Electric Equip"
STRM_delivery_rye, "Sack of Rye", "Sack of Rye", "Sack of Rye"
STRM_delivery_potatoes, "Sack of Potatoes", "Sack of Potatoes", "Sack of Potatoes"
STRM_delivery_clothes, "Fancy Clothes", "Fancy Clothes", "Fancy Clothes"
STRM_delivery_beer, "Crate of Beer", "Crate of Beer", "Crate of Beer"
STRM_delivery_vodka, "Crate of Vodka", "Crate of Vodka", "Crate of Vodka"
STRM_resource_bait, "Fishing Bait", "Fishing Bait", "Fishing Bait"
STRM_resource_blackpowder, "Gunpowder", "Gunpowder", "Gunpowder"
STRM_resource_coal, "Coal", "Coal", "Coal"
STRM_resource_mari, "Unprocessed Marijuana", "Unprocessed Marijuana", "Unprocessed Marijuana"
STRM_resource_coca, "Unprocessed Cocaine", "Unprocessed Cocaine", "Unprocessed Cocaine"
STRM_resource_copper, "Copper", "Copper", "Copper"
STRM_resource_cotton, "Raw Cotton", "Raw Cotton", "Raw Cotton"
STRM_resource_ergot, "Raw Ergot", "Raw Ergot", "Raw Ergot"
STRM_resource_glass, "Glass", "Glass", "Glass"
STRM_resource_gold, "Gold", "Gold", "Gold"
STRM_resource_hops, "Raw Hop", "Raw Hop", "Raw Hop"
STRM_resource_iron, "Iron", "Iron", "Iron"
STRM_resource_lead, "Lead", "Lead", "Lead"
STRM_resource_oilcrude, "Crude Oil", "Crude Oil", "Crude Oil"
STRM_resource_oilrefined, "Petrol", "Petrol", "Petrol"
STRM_resource_plastic, "Plastic", "Plastic", "Plastic"
STRM_resource_poppy, "Raw Poppy", "Raw Poppy", "Raw Poppy"
STRM_resource_potato, "Potatoes", "Potatoes", "Potatoes"
STRM_resource_rye, "Rye", "Rye", "Rye"
STRM_resource_silica, "Silica", "Silica", "Silica"
STRM_resource_steel, "Steel", "Steel", "Steel"
STRM_resource_sand, "Sand", "Sand", "Sand"
STRM_resource_sulfur, "Sulfur", "Sulfur", "Sulfur"
STRM_resource_wood, "Wood", "Wood", "Wood"
STRM_resource_rawboar, "Raw Pork", "Raw Pork", "Raw Pork"
STRM_resource_rawcow, "Raw Beef", "Raw Beef", "Raw Beef"
STRM_equipment_keys, "Keys", "Keys", "Keys"
STRM_equipment_axe, "Axe", "Axe", "Axe"
STRM_equipment_pickaxe, "Pickaxe", "Pickaxe", "Pickaxe"
STRM_equipment_jackhammer, "Jack Hammer", "Jack Hammer", "Jack Hammer"
STRM_equipment_shovel, "Shovel", "Shovel", "Shovel"
STRM_equipment_siphon, "Siphon", "Siphon", "Siphon"
STRM_seed_coca, "Cocaine Seed", "Coca Seed", "Coca Seed"
STRM_seed_cotton, "Cotton Seed", "Cotton Seed", "Cotton Seed"
STRM_seed_hops, "Hop Seed", "Hop Seed", "Hop Seed"
STRM_seed_marijuana, "Marijuana Seed", "Marijuana Seed", "Marijuana Seed"
STRM_seed_potato, "Potato Seed", "Potato Seed", "Potato Seed"
STRM_seed_rye, "Rye Seed", "Rye Seed", "Rye Seed"
STRM_resource_fertilizer, "Fertilizer", "Fertilizer", "Fertilizer"
STRM_resource_electronics, "Electronics", "Electronics", "Electronics"
STRM_equipment_hcuffkey, "Handcuffs Key", "Handcuffs Key", "Handcuffs Key"
STRM_cash_roll, "Roll of Cash", "Roll of Cash", "Roll of Cash"
STRM_cash_bag, "Bag of Cash", "Bag of Cash", "Bag of Cash"
STRM_Pseudoephedrine, "Pseudoephedrine", "Pseudoephedrine", "Pseudoephedrine"
STRM_Cold_Medicine, "Cold Medicine", "Cold Medicine", "Cold Medicine"
STRM_Respirator, "Respirator", "Respirator", "Respirator"
STRM_Meth_Lab, "Meth Lab", "Meth Lab", "Meth Lab"
STRM_Storage_Box, "Storage Box", "Storage Box", "Storage Box"
STRM_Citizen1, "Worker 1", "Worker 1", "Worker 1"
STRM_Citizen2_EP1, "Worker 2", "Worker 2", "Worker 2"
STRM_DP1, "Delivery Point 1", "Delivery Point 1", "Delivery Point 1"
STRM_DP2, "Delivery Point 2", "Delivery Point 2", "Delivery Point 2"
STRM_DP3, "Delivery Point 3", "Delivery Point 3", "Delivery Point 3"
STRM_DP4, "Delivery Point 4", "Delivery Point 4", "Delivery Point 4"
STRM_DP5, "Delivery Point 5", "Delivery Point 5", "Delivery Point 5"
STRM_DP6, "Delivery Point 6", "Delivery Point 6", "Delivery Point 6"
STRM_DP7, "Delivery Point 7", "Delivery Point 7", "Delivery Point 7"
STRM_DP8, "Delivery Point 8", "Delivery Point 8", "Delivery Point 8"
STRM_DP9, "Delivery Point 9", "Delivery Point 9", "Delivery Point 9"
STRM_DP10, "Delivery Point 10", "Delivery Point 10", "Delivery Point 10"
STRM_DP11, "Delivery Point 11", "Delivery Point 11", "Delivery Point 11"
STRM_DP12, "Delivery Point 12", "Delivery Point 12", "Delivery Point 12"
STRM_Cashroll_Exchange, "You exchanged $10000 for 1 cash roll!", "You exchanged $10000 for 1 cash roll!", "You exchanged $10000 for 1 cash roll!"
STRM_Cashbag_Exchange, "You exchanged $100000 for 1 cash bag!", "You exchanged $100000 for 1 cash bag!", "You exchanged $100000 for 1 cash bag!"
STRM_Act_Teleport_S, "Teleport [ON]", "Teleport", "Teleport"
STRM_Act_Teleport_E, "Teleport [OFF]", "Teleport (E)", "Teleport (E)"
STRM_Act_Seeds, "Get Seeds", "Get Seeds", "Get Seeds"
STRM_Act_Areas_Takeover, "Takeover Area", "Takeover Area", "Takeover Area"
STRM_Act_Areas_Abort, "Abort Takeover", "Abort Takeover", "Abort Takeover"
STRM_Areas_Aborted, "Takeover has been aborted!", "Takeover has been aborted!", "Takeover has been aborted!"
STRM_Act_Areas_Storage, "Storage", "Storage", "Storage"
STRM_Act_Delivery_Get, "Get Delivery Job", "Get Delivery Job", "Get Delivery Job"
STRM_Act_Delivery_Cancel, "Cancel Delivery Job", "Cancel Delivery Job", "Cancel Delivery Job"
STRM_Act_Reprocess, "Reprocess Drugs", "Reprocess Drugs", "Reprocess Drugs"
STRM_Welcome1, "Ultimate-RP is a Roleplay Game", "Ultimate-RP is a Roleplay Game", "Ultimate-RP is a Roleplay Game"
STRM_Welcome2, "Rules are important. Find rules in map or inventory", "Rules are important. Find rules in map or inventory", "Rules are important. Find rules in map or inventory"
STRM_Welcome3, "As Civilian you can trade drugs, make vehicles and guns and do criminal stuff", "As Civilian you can trade drugs, make vehicles and guns and do criminal stuff", "As Civilian you can trade drugs, make vehicles and guns and do criminal stuff"
STRM_Welcome4, "As Cop your mission it to stop drug dealing and weapon dealing. Drug dealers can be found at drug fields or at red dots in town. Weapond dealers are near parts workshops and factories", "As Cop your mission it to stop drug dealing and weapon dealing. Drug dealers can be found at drug fields or at red dots in town. Weapond dealers are near parts workshops and factories", "As Cop your mission it to stop drug dealing and weapon dealing. Drug dealers can be found at drug fields or at red dots in town. Weapond dealers are near parts workshops and factories"
STRM_Welcome5, "Licences are sold in government", "Licences are sold in government", "Licences are sold in government"
STRM_Welcome6, "Storage allows you to save all your guns and cars before you leave. Look for green container in Green Circle areas", "You can save your equipment and cars at Storage, look for big green container", "You can save your equipment and cars at Storage, look for big green container"
STRM_Welcome7, "Never ever kill unarmed and not wanted players", "Never ever kill unarmed and not wanted players", "Never ever kill unarmed and not wanted players"
STRM_Welcome8, "Cops should always carry STUN (Non-Lethal) weapon.", "Cops should always carry STUN (Non-Lethal) weapon.", "Cops should always carry STUN (Non-Lethal) weapon."
STRM_Reprocess, "You processed %1 units of %2 into %3 units of %4!", "You processed %1 units of %2 into %3 units of %4!", "You processed %1 units of %2 into %3 units of %4!"
STRM_Reprocess_Not, "You must have %1 units of %2 to make %3!", "You must have %1 units of %2 to make %3!", "You must have %1 units of %2 to make %3!"
STRM_Reprocess_Made, "You have new drugs in your group storage!", "You have new drugs in your group storage!", "You have new drugs in your group storage!"
STRM_Reprocess_Already, "You are already reprocessing drugs!", "You are already reprocessing drugs!", "You are already reprocessing drugs!"
STRM_Reprocess_Active, "The selected item is a drug, and reprocess is active!", "The selected item is a drug, and reprocess is active!", "The selected item is a drug, and reprocess is active!"
STRM_Search_Valid, "You must be crouched to search %1!", "You must be crouched to search %1!", "You must be crouched to search %1!"
STRM_RPG18, "RPG 18", "RPG 18", "RPG 18"
STRM_LandRover_CZ_EP1, "Land Rover Beige", "Land Rover Beige", "Land Rover Beige"
STRM_ShootingInDMZ, "Stop shooting in a DMZ! (%1/%2 chances left!)", "Stop shooting in a DMZ! (%1/%2 chances left!)", "Stop shooting in a DMZ! (%1/%2 chances left!)"
STRM_LostWeaponsInDMZ, "Don't shoot in or near a DMZ protected area", "Don't shoot in or near a DMZ protected area", "Don't shoot in or near a DMZ protected area"
STRM_RecoverInDMZ, "Use "Normal" animation and pick up your weapons!", "Use "Normal" animation and pick up your weapons!", "Use "Normal" animation and pick up your weapons!"
STRM_AvoidingJail, "%1 Is Back In Jail", "%1 Is Back In Jail", "%1 Is Back In Jail"
STRM_Uncuffed, "You uncuffed %1 (%2)!", "You uncuffed %1 (%2)!", "You uncuffed %1 (%2)!"
STRM_Login_Failed, "Login failed!  Please check your username or password (Or maybe you don't have an account!)...", "Login failed!  Please check your username or password (Or maybe you don't have an account!)...", "Login failed!  Please check your username or password (Or maybe you don't have an account!)..."
STRM_Login_Success, "Login succeeded!", "Login succeeded!", "Login succeeded!"
STRM_Register_Failed, "Registration failed!  Please check your username or password (Your UID may already be bound to another account!)...", "Registration failed!  Please check your username or password (Your UID may already be bound to another account!)...", "Registration failed!  Please check your username or password (Your UID may already be bound to another account!)..."
STRM_Register_Success, "Registration succeeded!  You've been logged in!", "Registration succeeded!  You've been logged in!", "Registration succeeded!  You've been logged in!"
STRM_Login_USLen, "Usernames must be less than or equal to 16 characters and more than 4 characters!", "Usernames must be less than or equal to 16 characters and more than 4 characters!", "Usernames must be less than or equal to 16 characters and more than 4 characters!"
STRM_Login_PWLen, "Passwords must be less than or equal to 16 characters and more than 4 characters!", "Passwords must be less than or equal to 16 characters and more than 4 characters!", "Passwords must be less than or equal to 16 characters and more than 4 characters!"
STRM_Login_Not, "You aren't logged in!", "You aren't logged in!", "You aren't logged in!"
STRM_Login_Am, "You are already logged in!", "You are already logged in!", "You are already logged in!"
STRM_Login_Tip, "* First time playing? Rules are in Inventory, FAQ is in map diary.<br />* Save all your items, weapons and vehicles in storage near civ and cop spawn.", "* First time playing? Rules are in Inventory, FAQ is in map diary.<br />* Save all your items, weapons and vehicles in storage near civ and cop spawn.", "* First time playing? Rules are in Inventory, FAQ is in map diary.<br />* Save all your items, weapons and vehicles in storage near civ and cop spawn."
STRM_Pipes_TimedOut, "The request has timed out, please try again or contact an administrator!", "The request has timed out, please try again or contact an administrator!", "The request has timed out, please try again or contact an administrator!"
STRM_Login_PWChanged, "The password was updated!", "The password was updated!", "The password was updated!"
STRM_Login_PWNotChanged, "The system to failed to update your password!", "The system to failed to update your password!", "The system to failed to update your password!"
STRM_Login_PWTipLbl, "Once you Submit your password will be changed.  Upon next login you must use your new password!", "Once you Submit your password will be changed.  Upon next login you must use your new password!", "Once you Submit your password will be changed.  Upon next login you must use your new password!"
STRM_Login_PWSame, "The new password must be different from the old one!", "The new password must be different from the old one!", "The new password must be different from the old one!"
STRM_Owned, "Owned", "Owned", "Owned"
STRM_Licensed, "Licensed", "Licensed", "Licensed"
STRM_Role, "Role: ", "Role: ", "Role: "
STRM_Hunger, "Hunger: ", "Hunger: ", "Hunger: "
STRM_Health, "Health: ", "Health: ", "Health: "
STRM_Jailed, "Jailed: ", "Jailed: ", "Jailed: "
STRM_Wanted, "Wanted: ", "Wanted: ", "Wanted: "
STRM_DeliveryPoint, "Delivery Point: ", "Delivery Point: ", "Delivery Point: "
STRM_Daytime, "Time: %1:00", "Time: %1:00", "Time: %1:00"
STRM_ServerTime, "Server Time: %1", "Server Time: %1", "Server Time: %1"
STRM_LastSave, "Last Save: %1", "Last Save: %1", "Last Save: %1"
STRM_BankAccount, "Bank Account", "Bank Account", "Bank Account"
STRM_SoftwareVersion, "Mod Version: %1", "Mod Version: %1", "Mod Version: %1"
STRM_SoftwareUnrevisioned, "N/A (Unversioned)", "N/A (Unversioned)", "N/A (Unversioned)"
STRM_SoftwareRevision, "Mod Revision: %1", "Mod Revision: %1", "Mod Revision: %1"
STRM_Law1, "Law 1: Drive safe, town speed limit 60, outside 90", "Law 1: Drive safe, town speed limit 60, outside 90", "Law 1: Drive safe, town speed limit 60, outside 90"
STRM_Law2, "Law 2: Guns should be holstered within town limits", "Law 2: Guns should be holstered within town limits", "Law 2: Guns should be holstered within town limits"
STRM_Law3, "Law 3: Drugs are illegal", "Law 3: Drugs are illegal", "Law 3: Drugs are illegal"
STRM_Law4, "Law 4: All weapons require a proper licence", "Law 4: All weapons require a proper licence", "Law 4: All weapons require a proper licence"
STRM_Law5, "Law 5: Discharging of firearms withing town limits is illegal", "Law 5: Discharging of firearms withing town limits is illegal", "Law 5: Discharging of firearms withing town limits is illegal"
STRM_Law6, "Law 6: Having more than 2 pieces of weapons is illegal", "Law 6: Having more than 2 pieces of weapons is illegal", "Law 6: Having more than 2 pieces of weapons is illegal"
STRM_Law7, "Law 7: Scopes, silencers and grenade launchers are illegal", "Law 7: Scopes, silencers and grenade launchers are illegal", "Law 7: Scopes, silencers and grenade launchers are illegal"
STRM_Law8, "Law 8: Respect the Law", "Law 8: Respect the Law", "Law 8: Respect the Law"
STRM_Law9, "Law 9: Thou shall not kill", "Law 9: Thou shall not kill", "Law 9: Thou shall not kill"
STRM_Law10, "Law 10: Thou shall not pass!", "Law 10: Thou shall not pass!", "Law 10: Thou shall not pass!"
STRM_CodeOfLaws, "CODE OF LAWS", "CODE OF LAWS", "CODE OF LAWS"
STRM_Factories, "FACTORIES", "FACTORIES", "FACTORIES"
STRM_Info, "INFO", "INFO", "INFO"
STRM_Licenses, "LICENSES", "LICENSES", "LICENSES"
STRM_LicensesSM, "Licenses", "Licenses", "Licenses"
STRM_Players, "PLAYERS", "PLAYERS", "PLAYERS"
STRM_YourStats, "YOUR STATS", "YOUR STATS", "YOUR STATS"
STRM_Saved, "Saved", "Saved", "Saved"
STRM_Loading, "Loading", "Loading", "Loading"
STRM_Loaded, "Loaded", "Loaded", "Loaded"
STRM_Keys, "Keys", "Keys", "Keys"
STRM_Create, "Create", "Create", "Create"
STRM_Disband, "Disband", "Disband", "Disband"
STRM_Join, "Join", "Join", "Join"
STRM_Leave, "Leave", "Leave", "Leave"
STRM_Groups_Leader_Replaced, "As the group owner was no longer online, you have became the new leader", "As the group owner was no longer online, you have became the new leader", "As the group owner was no longer online, you have became the new leader"
STRM_Crimes, "Crimes", "Crimes", "Crimes"
STRM_Dead, "Dead", "Dead", "Dead"
STRM_Jail, "Jail", "Jail", "Jail"
STRM_Killed, "Killed", "Killed", "Killed"
STRM_Skills, "SKILLS", "SKILLS", "SKILLS"
STRM_SkillsSM, "Skills", "Skills", "Skills"
STRM_Logs, "Logs", "Logs", "Logs"
STRM_Logs_Accessed, "%1 (UID: %2) access logs", "%1 (UID: %2) access logs", "%1 (UID: %2) access logs"
STRM_Logs_FailedCode, "%1 (UID: %2) failed to input the access code!", "%1 (UID: %2) failed to input the access code!", "%1 (UID: %2) failed to input the access code!"
STRM_Logs_FailedUID, "%1 (UID: %2) tried to access logs but isn't an admin!", "%1 (UID: %2) tried to access logs but isn't an admin!", "%1 (UID: %2) tried to access logs but isn't an admin!"
STRM_Logs_Arrested, "%1 was arrested for %2 seconds by %3", "%1 was arrested for %2 seconds by %3", "%1 was arrested for %2 seconds by %3"
STRM_Logs_Bail, "%1 paid his $%2 bail!", "%1 paid his $%2 bail!", "%1 paid his $%2 bail!"
STRM_Logs_Bounty, "%1 got bounty of $%2 on his head!", "%1 got bounty of $%2 on his head!", "%1 got bounty of $%2 on his head!"
STRM_Logs_Deposit, "%1 deposited $%2 at the bank", "%1 deposited $%2 at the bank", "%1 deposited $%2 at the bank"
STRM_Logs_Died, "%1 died", "%1 died", "%1 died"
STRM_Logs_Escaped, "%1 escaped from prison", "%1 escaped from prison", "%1 escaped from prison"
STRM_Logs_InvalidCode, "The passcode you entered did not match the record!", "The passcode you entered did not match the record!", "The passcode you entered did not match the record!"
STRM_Logs_InvalidUID, "You are not authorized to view logs!", "You are not authorized to view logs!", "You are not authorized to view logs!"
STRM_Logs_Jailed, "%1 was jailed by %2", "%1 was jailed by %2", "%1 was jailed by %2"
STRM_Logs_Killed, "%1 was killed by %2", "%1 was killed by %2", "%1 was killed by %2"
STRM_Logs_NoAdmin, "No admins have been configured for logs access!", "No admins have been configured for logs access!", "No admins have been configured for logs access!"
STRM_Logs_None, "No system logs are yet available", "No system logs are yet available", "No system logs are yet available"
STRM_Logs_Passcode_Invalid, "The passcode must be no more than 16 characters long and must be alphanumeric!", "The passcode must be no more than 16 characters long and must be alphanumeric!", "The passcode must be no more than 16 characters long and must be alphanumeric!"
STRM_Logs_Passcode_Valid, "Your passcode matched the record!", "Your passcode matched the record!", "Your passcode matched the record!"
STRM_Logs_Paycheck, "%1 got $%2 paycheck", "%1 got $%2 paycheck", "%1 got $%2 paycheck"
STRM_Logs_RanDown, "%1 was ran over by %2!", "%1 was ran over by %2!", "%1 was ran over by %2!"
STRM_Logs_Released, "%1 was released by %2", "%1 was released by %2", "%1 was released by %2"
STRM_Logs_Starved, "%1 starved to death!", "%1 starved to death!", "%1 starved to death!"
STRM_Logs_Stole, "%1 stole $%2 from the bank", "%1 stole $%2 from the bank", "%1 stole $%2 from the bank"
STRM_Logs_Stunned, "%1 was stunned by %2!", "%1 was stunned by %2!", "%1 was stunned by %2!"
STRM_Logs_Suicide, "%1 killed themself", "%1 killed themself", "%1 killed themself"
STRM_Logs_Ticketed, "%1 got a ticket of $%2 from %3", "%1 got a ticket of $%2 from %3", "%1 got a ticket of $%2 from %3"
STRM_Logs_Transfer, "%1 transferred $%2 to %3 at the bank", "%1 transferred $%2 to %3 at the bank", "%1 transferred $%2 to %3 at the bank"
STRM_Logs_Withdraw, "%1 withdrew $%2 at the bank", "%1 withdrew $%2 at the bank", "%1 withdrew $%2 at the bank"
STRM_Paycheck, "Paycheck", "Paycheck", "Paycheck"
STRM_Ticket_Cops, "You can't ticket cops!", "You can't ticket cops!", "You can't ticket cops!"
STRM_Saving_Loading, "Loading Stats, Please Wait...", "Loading Stats, Please Wait...", "Loading Stats, Please Wait..."
STRM_Overweight, "You are overweight and cannot run. Drop something from you inventory!", "You are overweight and cannot run. Drop something from you inventory!", "You are overweight and cannot run. Drop something from you inventory!"
STRM_RemoveWreck, "[Scrap Vehicle]", "[Scrap Vehicle]", "[Scrap Vehicle]"
STRM_VehicleScrapped, "You scrapped %1 for $%2!", "You scrapped %1 for $%2!", "You scrapped %1 for $%2!"
STRM_Skills_TooMany, "You have too many points and cannot add anymore to this skill type!", "You have too many points and cannot add anymore to this skill type!", "You have too many points and cannot add anymore to this skill type!"
STRM_Skills_NotEnoughCash, "You don't have enough money to purchase this many points!", "You don't have enough money to purchase this many points!", "You don't have enough money to purchase this many points!"
STRM_Skills_Purchased, "You purchased %1 %2 points for $%3!", "You purchased %1 %2 points for $%3!", "You purchased %1 %2 points for $%3!"
STRM_System_Error, "There was a critical problem with your last action!", "There was a critical problem with your last action!", "There was a critical problem with your last action!"
STRM_Skills_MaxedOut, "You cannot buy %1 points as it'd put you above the maximum points limit of %2!", "You cannot buy %1 points as it'd put you above the maximum points limit of %2!", "You cannot buy %1 points as it'd put you above the maximum points limit of %2!"
STRM_Skills_PurchaseNeed, "You need %1 in skills to purchase this item!", "You need %1 in skills to purchase this item!", "You need %1 in skills to purchase this item!"
STRM_Skills_Industry, "Industry", "Industry", "Industry"
STRM_Skills_IndustrySM, "industry", "industry", "industry"
STRM_Skills_Vehicles, "Vehicles", "Vehicles", "Vehicles"
STRM_Skills_VehiclesSM, "vehicles", "vehicles", "vehicles"
STRM_Skills_Weapons, "Weapons", "Weapons", "Weapons"
STRM_Skills_WeaponsSM, "weapons", "weapons", "weapons"
STRM_Skills_Criminal, "Criminal", "Criminal", "Criminal"
STRM_Skills_CriminalSM, "criminal", "criminal", "criminal"
STRM_Skills_Police, "Police", "Police", "Police"
STRM_Skills_PoliceSM, "police", "police", "police"
STRM_Negative_Number, "You cannot use a negative number!", "You cannot use a negative number!", "You cannot use a negative number!"
STRM_Skills_PointsSM, "points", "points", "points"
STRM_Inventory_NotContains, "Inventory doesn't contain that many units!", "Inventory doesn't contain that many units!", "Inventory doesn't contain that many units!"
STRM_Radargun, "Radar Gun", "Radar Gun", "Radar Gun"
